patient_num,z,x,y
47,2,0,0
47,2,0,51
47,2,0,102
47,2,51,0
47,2,51,51
47,2,51,102
47,2,102,0
47,2,102,51
47,2,102,102
47,2,153,0
47,2,153,51
47,2,153,102
47,2,204,0
47,2,204,51
47,2,204,102
47,2,255,0
47,2,255,51
47,2,255,102
47,10,0,0
47,10,0,51
47,10,0,102
47,10,0,153
47,10,51,0
47,10,51,51
47,10,51,102
47,10,51,153
47,10,102,0
47,10,102,51
47,10,102,102
47,10,102,153
47,10,153,0
47,10,153,51
47,10,153,102
47,10,153,153
47,10,204,0
47,10,204,51
47,10,204,102
47,10,204,153
47,10,255,0
47,10,255,51
47,10,255,102
47,10,255,153
47,18,0,0
47,18,0,51
47,18,0,102
47,18,0,153
47,18,51,0
47,18,51,51
47,18,51,102
47,18,51,153
47,18,102,0
47,18,102,51
47,18,102,102
47,18,102,153
47,18,153,0
47,18,153,51
47,18,153,102
47,18,153,153
47,18,204,0
47,18,204,51
47,18,204,102
47,18,204,153
47,18,255,0
47,18,255,51
47,18,255,102
47,18,255,153
47,26,0,0
47,26,0,51
47,26,0,102
47,26,0,153
47,26,51,0
47,26,51,51
47,26,51,102
47,26,51,153
47,26,102,0
47,26,102,51
47,26,102,102
47,26,102,153
47,26,153,0
47,26,153,51
47,26,153,102
47,26,153,153
47,26,153,204
47,26,153,255
47,26,204,0
47,26,204,51
47,26,204,102
47,26,204,153
47,26,204,204
47,26,204,255
47,26,255,0
47,26,255,51
47,26,255,102
47,26,255,153
47,26,255,204
47,26,255,255
47,34,0,0
47,34,0,51
47,34,0,102
47,34,0,153
47,34,0,204
47,34,51,0
47,34,51,51
47,34,51,102
47,34,51,153
47,34,51,204
47,34,102,0
47,34,102,51
47,34,102,102
47,34,102,153
47,34,102,204
47,34,102,255
47,34,153,0
47,34,153,51
47,34,153,102
47,34,153,153
47,34,153,204
47,34,153,255
47,34,204,0
47,34,204,51
47,34,204,102
47,34,204,153
47,34,204,204
47,34,204,255
47,34,255,0
47,34,255,51
47,34,255,102
47,34,255,153
47,34,255,204
47,34,255,255
47,42,0,0
47,42,0,51
47,42,0,102
47,42,0,153
47,42,0,204
47,42,51,0
47,42,51,51
47,42,51,102
47,42,51,153
47,42,51,204
47,42,51,255
47,42,102,0
47,42,102,51
47,42,102,102
47,42,102,153
47,42,102,204
47,42,102,255
47,42,153,0
47,42,153,51
47,42,153,102
47,42,153,153
47,42,153,204
47,42,153,255
47,42,204,0
47,42,204,51
47,42,204,102
47,42,204,153
47,42,204,204
47,42,204,255
47,42,255,0
47,42,255,51
47,42,255,102
47,42,255,153
47,42,255,204
47,42,255,255
47,50,0,0
47,50,0,51
